Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Donald Lutz","AA",27,161,0.948717948,0.2,0.025641025,0.19727891,0.055900621,0.329192546,"10154"
"Francisco Arcia","AA",26,284,1.637931034,0.194736842,0.017241379,0.08948339,0.088028169,0.211267605,"10286"
"Rocky Gale","AA",28,247,1.735849056,0.16184971,0.037735849,0.0640608,0.117408906,0.153846153,"10533"
"Joey Terdoslavich","AA",27,459,1.172413793,0.207547169,0.120689655,0.098017,0.130718954,0.154684095,"10593"
"David Freitas","AA",27,272,1.3,0.182741116,0.057142857,0.08630952,0.077205882,0.172794117,"10619"
"Mike Olt","AA",27,195,0.911111111,0.196261682,0.111111111,0.1135006,0.158974358,0.282051282,"10698"
"Lane Adams","AA",26,423,0.916666666,0.212927756,0.083333333,0.13219094,0.096926713,0.245862884,"10767"
"Darren Ford","AA",30,258,1.350877192,0.1625,0,0.10174152,0.116279069,0.217054263,"109"
"Steven Lerud","AA",31,214,2.75,0.243697478,0.041666666,0.09070549,0.177570093,0.233644859,"113"
"Adrian Sanchez","AA",25,325,1.202020202,0.1484375,0,0.08918919,0.043076923,0.129230769,"11338"
"Drew Maggi","AA",27,220,1.6,0.166666666,0.04,0.06773823,0.077272727,0.168181818,"11381"
"Henry Ramos","AA",24,189,1.897435897,0.192857142,0.076923076,0.08099688,0.058201058,0.132275132,"11481"
"Rosell Herrera","AA",23,494,1.876288659,0.184210526,0.051546391,0.09424658,0.113360323,0.159919028,"11611"
"Kyle Parker","AA",26,171,0.952380952,0.226415094,0.095238095,0.12715856,0.169590643,0.210526315,"11763"
"Tyler Austin","AA",24,210,1.125,0.227272727,0.083333333,0.08021978,0.142857142,0.219047619,"11850"
"Noel Cuevas","AA",24,209,1.266666666,0.19047619,0.033333333,0.1035461,0.028708133,0.129186602,"11894"
"Orlando Calixte","AA",24,152,1.424242424,0.238095238,0.06060606,0.1266055,0.059210526,0.203947368,"11905"
"Nick Martini","AA",26,172,1.666666666,0.24137931,0.09090909,0.06142857,0.139534883,0.156976744,"12005"
"Jon Berti","AA",26,319,1.879310344,0.189320388,0.034482758,0.05950541,0.112852664,0.175548589,"12037"
"Yefri Perez","AA",25,377,2.112676056,0.15,0.014084507,0.07997266,0.103448275,0.175066312,"12090"
"Niko Goodrum","AA",24,207,1.170212765,0.221374045,0.127659574,0.11257485,0.106280193,0.251207729,"12092"
"Juniel Querecuto","AA",23,246,1.044776119,0.2259887,0.044776119,0.07609861,0.085365853,0.174796747,"12140"
"Jorge Alfaro","AA",23,435,1.636363636,0.213559322,0.170454545,0.1614654,0.050574712,0.24137931,"12180"
"Jake Hager","AA",23,190,1.431818181,0.230215827,0.045454545,0.09315866,0.036842105,0.184210526,"12198"
"Ryan Court","AA",28,347,2.087719298,0.210762331,0.070175438,0.07054795,0.11239193,0.219020172,"12268"
"Beau Taylor","AA",26,401,1.569620253,0.203921568,0.063291139,0.07851491,0.134663341,0.21446384,"12384"
"Jason Krizan","AA",27,406,1.110169491,0.247734138,0.076271186,0.03694102,0.110837438,0.066502463,"12394"
"Nick Ramirez","AA",26,329,0.636363636,0.185929648,0.141414141,0.11432604,0.139817629,0.252279635,"12575"
"Mike Marjama","AA",26,307,1.657142857,0.194805194,0.071428571,0.11619048,0.06188925,0.149837133,"12594"
"Dillon Thomas","AA",23,419,1.932432432,0.21942446,0.054054054,0.16005567,0.066825775,0.231503579,"12719"
"Breyvic Valera","AA",24,192,2.048780487,0.233128834,0,0.02684564,0.046875,0.09375,"12758"
"Jose Osuna","AA",23,283,1.2125,0.157142857,0.075,0.07257304,0.081272084,0.155477031,"12937"
"Phillip Evans","AA",23,386,1.008928571,0.237288135,0.071428571,0.09139785,0.049222797,0.155440414,"12950"
"Michael Perez","AA",23,131,1.548387096,0.150537634,0.096774193,0.07802875,0.053435114,0.221374045,"12977"
