Name,Team,PA,1B,2B,3B,HR,BB,SO,FB%,GB%,NameASCII,PlayerId,MLBAMID
"Dawel Lugo","DET",101,14,4,1,1,7,20,0.148648648,0.662162162,"Dawel Lugo",14713,608475
"Charlie Tilson","CHW",121,26,1,1,0,10,20,0.188235294,0.647058823,"Charlie Tilson",12983,605508
"Austin Slater","SFG",225,42,6,1,1,20,69,0.161538461,0.63076923,"Austin Slater",16153,596103
"Kevan Smith","CHW",187,41,6,0,3,10,18,0.207792207,0.629870129,"Kevan Smith",12284,607345
"Ian Desmond","COL",619,80,21,8,22,53,146,0.215496368,0.619854721,"Ian Desmond",6885,435622
"Ryan Flaherty","ATL",182,27,6,0,2,18,41,0.176470588,0.613445378,"Ryan Flaherty",7888,475247
"Eric Hosmer","SDP",677,104,31,2,18,62,142,0.197033898,0.603813559,"Eric Hosmer",3516,543333
"Kelby Tomlinson","SFG",152,23,4,2,0,9,35,0.163265306,0.602040816,"Kelby Tomlinson",13005,605509
"Jon Jay","- - -",586,112,19,7,3,33,95,0.165116279,0.593023255,"Jon Jay",5227,445055
"Travis Jankowski","SDP",387,71,12,3,4,37,73,0.199233716,0.582375478,"Travis Jankowski",13768,608671
"Yadiel Rivera","MIA",160,20,3,0,1,19,51,0.244444444,0.577777777,"Yadiel Rivera",11863,592680
"David Bote","CHC",210,27,9,2,6,19,60,0.244094488,0.574803149,"David Bote",14593,623520
"Magneuris Sierra","MIA",156,25,3,0,0,6,39,0.191489361,0.574468085,"Magneuris Sierra",17023,642423
"Tony Wolters","COL",216,20,4,4,3,26,33,0.275167785,0.570469798,"Tony Wolters",11470,547172
"Rosell Herrera","- - -",302,47,14,3,1,19,57,0.219730941,0.565022421,"Rosell Herrera",11611,594011
"Francisco Peña","STL",142,22,3,0,2,6,43,0.263736263,0.56043956,"Francisco Pena",8298,506747
"Jonathan Villar","- - -",515,92,14,1,14,41,138,0.24375,0.559375,"Jonathan Villar",10071,542340
"Orlando Arcia","MIL",366,63,16,0,3,15,87,0.254826254,0.555984555,"Orlando Arcia",13185,606115
"Erik González","CLE",143,24,10,1,1,5,34,0.227722772,0.554455445,"Erik Gonzalez",13369,570481
"Mac Williamson","SFG",105,12,4,0,4,11,27,0.283582089,0.552238805,"Mac Williamson",14158,607776
"Dee Strange-Gordon","SEA",588,120,17,8,4,9,80,0.223913043,0.552173913,"Dee Strange-Gordon",8203,543829
"Nomar Mazara","TEX",536,80,25,1,20,40,116,0.265957446,0.550531914,"Nomar Mazara",14553,608577
"Wilson Ramos","- - -",416,79,22,1,15,32,80,0.246710526,0.549342105,"Wilson Ramos",1433,467092
"Jefry Marte","LAA",209,27,7,1,7,13,41,0.300653594,0.549019607,"Jefry Marte",5107,527043
"Miguel Cabrera","DET",157,26,11,0,3,22,27,0.203703703,0.546296296,"Miguel Cabrera",1744,408234
"Trey Mancini","BAL",636,91,23,3,24,44,153,0.264976958,0.546082949,"Trey Mancini",15149,641820
"Lorenzo Cain","MIL",620,129,25,2,10,71,94,0.230425055,0.545861297,"Lorenzo Cain",9077,456715
"Yairo Muñoz","STL",329,57,16,0,8,30,71,0.233183856,0.542600896,"Yairo Munoz",16313,622168
"Matt Duffy","TBR",560,121,22,1,4,47,93,0.204379562,0.542579075,"Matt Duffy",13836,622110
"JB Shuck","MIA",142,21,3,1,0,10,22,0.271028037,0.542056074,"JB Shuck",6677,543776
