Name,Level,Age,PA,GB/FB,LD%,HR/FB,SwStr%,BB%,K%,PlayerId
"Chris Owings","AAA",30,208,0.761194029,0.138686131,0.119402985,0.12620192,0.086538461,0.25,"10030"
"Tomas Telis","AAA",31,313,2.58,0.266393442,0.04,0.05307498,0.095846645,0.099041533,"10067"
"Jonathan Villar","AAA",31,155,3.047619047,0.227272727,0.285714285,0.15630252,0.064516129,0.219354838,"10071"
"Billy Hamilton","AAA",31,106,1.130434782,0.209677419,0,0.1439206,0.094339622,0.29245283,"10199"
"Jon Singleton","AAA",30,581,0.738095238,0.27,0.19047619,0.10801257,0.201376936,0.277108433,"10441"
"Derek Dietrich","AAA",32,154,0.787234042,0.142857142,0.063829787,0.15332198,0.045454545,0.266233766,"10542"
"David Freitas","AAA",33,127,1.121212121,0.213483146,0.06060606,0.08754864,0.094488188,0.181102362,"10619"
"Carlos Perez","AAA",31,522,0.591954022,0.217514124,0.178160919,0.07659972,0.103448275,0.191570881,"10642"
"Rob Brantly","AAA",32,201,1.3125,0.26,0.020833333,0.12,0.054726368,0.15920398,"10655"
"Ryan LaMarre","AAA",33,186,1.685714285,0.168141592,0.142857142,0.09251701,0.112903225,0.225806451,"10700"
"Phil Gosselin","AAA",33,204,1.522727272,0.218309859,0.113636363,0.08915663,0.078431372,0.196078431,"10953"
"Elliot Soto","AAA",32,344,1.753846153,0.186363636,0.061538461,0.09665698,0.116279069,0.223837209,"11155"
"Adrian Sanchez","AAA",31,262,1.620689655,0.195767195,0.034482758,0.10010215,0.06870229,0.194656488,"11338"
"Jake Marisnick","AAA",31,105,0.6,0.238095238,0.033333333,0.14021164,0.047619047,0.295238095,"11339"
"Delino DeShields","AAA",29,426,1.394736842,0.18018018,0.013157894,0.10227273,0.180751173,0.272300469,"11379"
"Drew Maggi","AAA",33,346,0.862068965,0.209756097,0,0.10714286,0.115606936,0.242774566,"11381"
"Tony Wolters","AAA",30,234,2.052631578,0.216216216,0,0.08278867,0.111111111,0.247863247,"11470"
"Dixon Machado","AAA",30,522,1.410852713,0.212658227,0.046511627,0.06754698,0.101532567,0.122605363,"11472"
"Yolmer Sanchez","AAA",30,396,0.884210526,0.251046025,0.105263157,0.10111046,0.151515151,0.217171717,"11602"
"Stefen Romero","AAA",33,120,1.0625,0.153846153,0.09375,0.13107822,0.091666666,0.2,"11746"
"Juniel Querecuto","AAA",29,432,1.115702479,0.2,0.09090909,0.10787671,0.067129629,0.185185185,"12140"
"Jorge Bonifacio","AAA",29,444,0.451388888,0.18359375,0.104166666,0.13785558,0.105855855,0.281531531,"12174"
"Jake Hager","AAA",29,303,0.94117647,0.19117647,0.058823529,0.1030303,0.105610561,0.198019801,"12198"
"Scott Schebler","AAA",31,238,1.307692307,0.178082191,0.134615384,0.17945824,0.071428571,0.289915966,"12225"
"Cory Spangenberg","AAA",31,414,1.554054054,0.231707317,0.135135135,0.15052437,0.065217391,0.326086956,"12294"
"Beau Taylor","AAA",32,211,1.555555555,0.192982456,0.166666666,0.08731083,0.165876777,0.260663507,"12384"
"Jason Krizan","AAA",33,395,1.129629629,0.217687074,0.138888888,0.05423522,0.088607594,0.154430379,"12394"
"Taylor Motter","AAA",32,333,0.644230769,0.181818181,0.192307692,0.07615658,0.144144144,0.219219219,"12399"
"Kevin Pillar","AAA",33,176,0.745762711,0.201550387,0.169491525,0.08584337,0.113636363,0.125,"12434"
"John Hicks","AAA",32,387,0.93,0.212244897,0.2,0.20013523,0.067183462,0.279069767,"12547"
"Alex Dickerson","AAA",32,357,1.389610389,0.248979591,0.155844155,0.11248186,0.081232492,0.212885154,"12649"
"Dillon Thomas","AAA",29,492,1.347368421,0.228373702,0.189473684,0.14328507,0.113821138,0.258130081,"12719"
"Andy Burns","AAA",31,332,0.985714285,0.272251308,0.1,0.10644461,0.138554216,0.259036144,"12779"
"Taylor Davis","AAA",32,144,2.208333333,0.222222222,0,0.0881295,0.111111111,0.145833333,"12782"
"Phillip Evans","AAA",29,400,1.105263157,0.2,0.078947368,0.08853119,0.0775,0.1425,"12950"
"Cam Gallagher","AAA",29,119,1.48,0.162162162,0.12,0.10560345,0.100840336,0.260504201,"12981"
"Erick Castillo","AAA",29,127,1.74074074,0.177777777,0,0.11872146,0.039370078,0.173228346,"12990"
"John Andreoli","AAA",32,421,0.876712328,0.259459459,0.205479452,0.10714286,0.185273159,0.356294536,"13012"
"Jose Briceno","AAA",29,141,0.928571428,0.181818181,0.095238095,0.13663366,0.042553191,0.219858156,"13151"
"Robel Garcia","AAA",29,165,0.742857142,0.314606741,0.342857142,0.13854595,0.145454545,0.309090909,"13167"
"Ildemaro Vargas","AAA",30,309,1.345238095,0.189300411,0.035714285,0.05696757,0.08737864,0.1197411,"13324"
"Deven Marrero","AAA",31,166,0.977272727,0.179245283,0.068181818,0.09954751,0.120481927,0.204819277,"13325"
"Jake Lamb","AAA",31,276,1.148148148,0.275,0.277777777,0.1207483,0.141304347,0.268115942,"13329"
"Stephen Piscotty","AAA",31,119,1.03125,0.197530864,0.15625,0.15529412,0.06722689,0.226890756,"13367"
"Erik Gonzalez","AAA",30,402,2.194444444,0.16967509,0.055555555,0.14596491,0.069651741,0.213930348,"13369"
"Wynton Bernard","AAA",31,475,1.643564356,0.25,0.207920792,0.09174312,0.082105263,0.141052631,"13408"
